# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-17	3	0			
2020-03-18	3	0			
2020-03-19	4	0			
2020-03-20	7	0			
2020-03-21	11	0			
2020-03-22	11	0			
2020-03-23	17	0			
2020-03-24	21	0			
2020-03-25	23	0			
2020-03-26	23	0			
2020-03-27	25	0			
2020-03-28	25	0			
2020-03-29	34	0			
2020-03-30	41	0			
2020-03-31	42	0			
2020-04-01	43	0			
2020-04-02	45	0			
2020-04-03	46	0			
2020-04-04	46	0			
2020-04-05	48	0			
2020-04-06	50	1			
2020-04-07	50	2			
2020-04-08	58	2			
2020-04-09	62	2			
2020-04-10	70	2			
2020-04-11	72	2			
2020-04-12	77	2			
2020-04-13	90	3			
2020-04-14	99	3			
2020-04-15	101	4			
2020-04-16	115	5			
2020-04-17	135	5			
2020-04-18	142	6			
2020-04-19	163	6			
2020-04-20	176	8			
2020-04-21	195	8			
2020-04-22	214	8			
2020-04-23	227	10			
2020-04-24	234	11			
2020-04-25	258	11			
2020-04-26	279	11			
2020-04-27	301	14			
2020-04-28	317	16			
2020-04-29	354	18			
2020-04-30	404	19			
2020-05-01	487	19			
2020-05-02	553	22			
2020-05-03	658	25			
2020-05-04	733	28			
2020-05-05	817	29			
2020-05-06	943	35			
2020-05-07	1014	36			
2020-05-08	1177	38			
2020-05-09	1335	40			
2020-05-10	1447	41			
2020-05-11	1460	44			
2020-05-12	1590	51			
2020-05-13	1694	52			
2020-05-14	1740	55			
2020-05-15	1785	57			
2020-05-16	1867	59			
2020-05-17	1996	62			
2020-05-18	2234	67			
2020-05-19	2482	73			
2020-05-20	2817	75			
2020-05-21	3103	78			
2020-05-22	3343	80			
2020-05-23	3867	87			
2020-05-24	4160	92			
2020-05-25	4501	97			
2020-05-26	4781	105			
2020-05-27	5251	113			
2020-05-28	5600	122			
2020-05-29	5841	135			
2020-05-30	6072	142			
2020-05-31	6219	148			
2020-06-01	6326	161			
2020-06-02	6465	165			
2020-06-03	6679	171			
2020-06-04	7021	181			
2020-06-05	7284	190			
2020-06-06	7525	201			
2020-06-07	7983	207			
2020-06-08	8127	211			
2020-06-09	8457	223			
2020-06-10	8746	237			
2020-06-11	9091	245			
