# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	ICU	recovered
2020-02-26	1				
2020-02-27	1				
2020-02-28	2				
2020-02-29	2				
2020-03-01	2				
2020-03-02	2				
2020-03-03	2				
2020-03-04	3				
2020-03-05	6				
2020-03-06	10				
2020-03-07	13				
2020-03-08	16				
2020-03-09	16				
2020-03-10	19				
2020-03-11	30				
2020-03-12	46				
2020-03-14	65				
2020-03-16	152				
2020-03-17	164	1			
2020-03-18	240	3			
2020-03-19	286	5			
2020-03-20	396	9			
2020-03-21	396	15			
2020-03-22	631	22			
2020-03-23	745	30			
2020-03-24	810	40			
2020-03-25	862	48			
2020-03-26	1052	58			
2020-03-27	1223	68			
2020-03-28	1406	84			
2020-03-29	1451	98			
2020-03-30	1517	113			
2020-03-31	2339	136			
2020-04-01	2981	164			
2020-04-02	3506	188			
2020-04-03	4048	219			
2020-04-04	4466	260			
2020-04-05	4620	275			
2020-04-06	4866	304			
