# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	0	0			
2020-03-17	0	0			
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	2	0			
2020-03-24	3	0			
2020-03-25	5	0			
2020-03-26	6	0			
2020-03-27	10	0			
2020-03-28	14	0			
2020-03-29	14	0			
2020-03-30	17	0			
2020-03-31	18	1			
2020-04-01	21	1			
2020-04-02	29	1			
2020-04-03	32	1			
2020-04-04	34	3			
2020-04-05	35	4			
2020-04-06	36	4			
2020-04-07	41	4			
2020-04-08	55	7			
2020-04-09	79	11			
2020-04-10	85	11			
2020-04-11	101	13			
2020-04-12	111	13			
2020-04-13	136	16			
2020-04-14	152	21			
2020-04-15	165	24			
2020-04-16	195	26			
2020-04-17	205	28			
2020-04-18	236	29			
2020-04-19	245	32			
2020-04-20	263	33			
2020-04-21	301	39			
2020-04-22	345	40			
2020-04-23	386	44			
2020-04-24	447	46			
2020-04-25	499	49			
2020-04-26	543	50			
2020-04-27	633	53			
2020-04-28	698	57			
2020-04-29	814	62			
2020-04-30	926	67			
2020-05-01	1034	74			
2020-05-02	1169	76			
2020-05-03	1219	79			
2020-05-04	1361	85			
2020-05-05	1493	92			
2020-05-06	1657	101			
2020-05-07	1849	111			
2020-05-08	2030	114			
2020-05-09	2156	124			
2020-05-10	2341	135			
2020-05-11	2525	139			
2020-05-12	2777	154			
2020-05-13	3045	157			
2020-05-14	3361	160			
2020-05-15	3739	170			
2020-05-16	4063	183			
2020-05-17	4347	194			
2020-05-18	4786	207			
2020-05-19	5300	219			
2020-05-20	5838	230			
2020-05-21	6238	245			
2020-05-22	6882	248			
2020-05-23	7508	258			
2020-05-24	7823	272			
2020-05-25	8016	279			
2020-05-26	8919	286			
2020-05-27	10209	298			
2020-05-28	11132	318			
2020-05-29	12011	327			
2020-05-30	12862	346			
2020-05-31	13162	360			
2020-06-01	13695	370			
2020-06-02	14859	379			
2020-06-03	16018	414			
2020-06-04	17579	438			
2020-06-05	18579	451			
2020-06-06	19787	467			
2020-06-07	20310	484			
2020-06-08	20951	507			
2020-06-09	22452	534			
2020-06-10	24032	559			
2020-06-11	25370	570			
2020-06-12	26556	610			
2020-06-13	27454	623			
2020-06-14	28013	633			
2020-06-15	28668	656			
2020-06-16	30128	671			
2020-06-17	31712	696			
2020-06-18	31760	709			
2020-06-19	35093	724			
2020-06-20	36521	743			
2020-06-21	36784	766			
2020-06-22	37253	784			
2020-06-23	38999	807			
2020-06-24	39912	828			
2020-06-25	40824	842			
2020-06-26	42832	864			
2020-06-27	44242	896			
