# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	0	0			
2020-03-17	0	0			
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	2	0			
2020-03-24	3	0			
2020-03-25	5	0			
2020-03-26	6	0			
2020-03-27	10	0			
2020-03-28	14	0			
2020-03-29	14	0			
2020-03-30	17	0			
2020-03-31	18	1			
2020-04-01	21	1			
2020-04-02	29	1			
2020-04-03	32	1			
2020-04-04	34	3			
2020-04-05	35	4			
2020-04-06	36	4			
2020-04-07	41	4			
2020-04-08	55	7			
2020-04-09	79	11			
2020-04-10	85	11			
2020-04-11	101	13			
2020-04-12	111	13			
2020-04-13	136	16			
2020-04-14	152	21			
2020-04-15	165	24			
2020-04-16	195	26			
2020-04-17	205	28			
2020-04-18	236	29			
2020-04-19	245	32			
2020-04-20	263	33			
2020-04-21	301	39			
2020-04-22	345	40			
2020-04-23	386	44			
2020-04-24	447	46			
2020-04-25	499	49			
2020-04-26	543	50			
2020-04-27	633	53			
2020-04-28	698	57			
2020-04-29	814	62			
2020-04-30	926	67			
2020-05-01	1034	74			
2020-05-02	1169	76			
2020-05-03	1219	79			
2020-05-04	1361	85			
2020-05-05	1493	92			
2020-05-06	1657	101			
2020-05-07	1849	111			
2020-05-08	2030	114			
2020-05-09	2156	124			
2020-05-10	2341	135			
2020-05-11	2525	139			
2020-05-12	2777	154			
2020-05-13	3045	157			
2020-05-14	3361	160			
2020-05-15	3739	170			
2020-05-16	4063	183			
2020-05-17	4347	194			
2020-05-18	4786	207			
2020-05-19	5300	219			
2020-05-20	5838	230			
2020-05-21	6238	245			
2020-05-22	6882	248			
2020-05-23	7508	258			
2020-05-24	7823	272			
2020-05-25	8016	279			
2020-05-26	8919	286			
2020-05-27	10209	298			
2020-05-28	11132	318			
2020-05-29	12011	327			
2020-05-30	12862	346			
2020-05-31	13162	360			
2020-06-01	13695	370			
2020-06-02	14859	379			
2020-06-03	16018	414			
2020-06-04	17579	438			
2020-06-05	18579	451			
2020-06-06	19787	467			
2020-06-07	20310	484			
2020-06-08	20951	507			
2020-06-09	22452	534			
2020-06-10	24032	559			
2020-06-11	25370	570			
2020-06-12	26556	610			
2020-06-13	27454	623			
2020-06-14	28013	633			
2020-06-15	28668	656			
2020-06-16	30128	671			
2020-06-17	31712	696			
2020-06-18	33377	709			
2020-06-19	35093	724			
2020-06-20	36521	743			
2020-06-21	36784	766			
2020-06-22	37253	784			
2020-06-23	38999	807			
2020-06-24	39912	828			
2020-06-25	40824	842			
2020-06-26	42832	864			
2020-06-27	44242	896			
2020-06-28	44679	911			
2020-06-29	45057	931			
2020-06-30	46957	977			
2020-07-01	48175	1002			
2020-07-02	49536	1044			
2020-07-03	50765	1062			
2020-07-04	52306	1082			
2020-07-05	52728	1099			
2020-07-06	53151	1118			
2020-07-07	54802	1145			
2020-07-08	56344	1171			
2020-07-09	57614	1196			
2020-07-10	59118	1229			
2020-07-11	60421	1250			
2020-07-12	60784	1284			
2020-07-13	61108	1302			
2020-07-14	62462	1342			
2020-07-15	63939	1383			
2020-07-16	65423	1418			
2020-07-17	66347	1446			
2020-07-18	66971	1477			
2020-07-19	67382	1486			
2020-07-20	67680	1517			
2020-07-21	68844	1558			
2020-07-22	70972	1581			
2020-07-23	73104	1618			
2020-07-24	74550	1653			
2020-07-25	75723	1675			
2020-07-26	76153	1698			
2020-07-27	76693	1727			
2020-07-28	78175	1745			
2020-07-29	79898	1766			
2020-07-30	81108	1785			
2020-07-31	82794	1811			
2020-08-01	83461	1833			
2020-08-02	84008	1850			
2020-08-03	84211	1870			
2020-08-04	85760	1901			
2020-08-05	87071	1922			
2020-08-06	87867	1945			
2020-08-07	89117	1965			
2020-08-08	89893	1983			
2020-08-09	90082	2000			
2020-08-10	90366	2023			
2020-08-11	91819	2046			
2020-08-12	92897	2071			
2020-08-13	93794	2092			
2020-08-14	94660	2113			
2020-08-15	95588	2138			
2020-08-16	96033	2162			
2020-08-17	96223	2183			
2020-08-18	97497	2203			
2020-08-19	98494	2223			
2020-08-20	99445	2244			
2020-08-21	100290	2268			
2020-08-22	100970	2288			
2020-08-23	101132	2308			
2020-08-24	101303	2330			
2020-08-25	102208	2350			
2020-08-26	103213	2371			
2020-08-27	104096	2388			
2020-08-28	104803	2404			
2020-08-29	105531	2422			
2020-08-30	105661	2435			
2020-08-31	105778	2450			
2020-09-01	106605	2465			
2020-09-02	107384	2483			
2020-09-03	108182	2501			
2020-09-04	108925	2517			
2020-09-05	109530	2529			
2020-09-06	109673	2543			
2020-09-07	109706	2550			
2020-09-08	109860	2563			
2020-09-09	110727	2578			
2020-09-10	111495	2590			
2020-09-11	112018	2604			
2020-09-12	112706	2616			
2020-09-13	112961	2627			
2020-09-14	113163	2639			
2020-09-15	113903	2649			
2020-09-16	114582	2659			
2020-09-17	115359	2670			
2020-09-18	115966	2684			
2020-09-19	116588	2695			
2020-09-20	116736	2707			
2020-09-21	116879	2719			
2020-09-22	117495	2729			
2020-09-23	118048	2741			
2020-09-24	118567	2762			
