# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-20	1	0			
2020-03-21	2	0			
2020-03-22	2	0			
2020-03-23	8	0			
2020-03-24	8	0			
2020-03-25	8	0			
2020-03-26	10	0			
2020-03-27	13	0			
2020-03-28	15	0			
2020-03-29	21	1			
2020-03-30	30	1			
2020-03-31	51	1			
2020-04-01	70	1			
2020-04-02	80	1			
2020-04-03	87	1			
2020-04-04	95	2			
2020-04-05	132	2			
2020-04-06	171	4			
2020-04-07	229	11			
2020-04-08	272	12			
2020-04-09	293	16			
2020-04-10	344	21			
2020-04-11	398	24			
2020-04-12	445	27			
2020-04-13	478	32			
2020-04-14	630	34			
2020-04-15	695	37			
2020-04-16	797	40			
2020-04-17	1040	44			
2020-04-18	1205	48			
2020-04-19	1320	54			
2020-04-20	1396	60			
2020-04-21	1604	66			
2020-04-22	1757	76			
2020-04-23	1951	88			
2020-04-24	2105	100			
2020-04-25	2223	112			
2020-04-26	2410	125			
2020-04-27	2528	145			
2020-04-28	2804	166			
2020-04-29	3190	184			
2020-04-30	3506	204			
2020-05-01	3805	224			
2020-05-02	4040	237			
2020-05-03	4227	249			
2020-05-04	4530	271			
2020-05-05	5028	291			
2020-05-06	5389	305			
2020-05-07	5909	330			
2020-05-08	6765	355			
2020-05-09	7599	379			
2020-05-10	8144	399			
2020-05-11	8526	423			
2020-05-12	9112	444			
2020-05-13	9801	470			
2020-05-14	10739	496			
2020-05-15	11592	524			
2020-05-16	12492	549			
2020-05-17	13238	576			
2020-05-18	14198	604			
2020-05-19	15114	634			
2020-05-20	16058	663			
2020-05-21	17212	693			
2020-05-22	18767	722			
2020-05-23	21191	754			
2020-05-24	22786	784			
2020-05-25	24278	817			
2020-05-26	26145	853			
2020-05-27	27979	887			
2020-05-28	30482	911			
2020-05-29	32620	932			
2020-05-30	34639	955			
2020-05-31	35297	976			
2020-06-01	36625	997			
2020-06-02	38174	1028			
2020-06-03	40629	1062			
2020-06-04	43313	1095			
2020-06-05	45470	1132			
2020-06-06	47593	1170			
2020-06-07	48537	1208			
2020-06-08	49371	1247			
2020-06-09	52069	1285			
2020-06-10	53508	1322			
2020-06-11	55680	1360			
2020-06-12	57605	1399			
2020-06-13	58859	1436			
2020-06-14	59850	1467			
2020-06-15	60592	1499			
2020-06-16	62711	1537			
2020-06-17	64735	1570			
2020-06-18	66091	1607			
2020-06-19	68500	1645			
2020-06-20	69673	1684			
2020-06-21	70059	1721			
2020-06-22	70689	1760			
2020-06-23	72021	1797			
2020-06-24	73314	1836			
2020-06-25	74925	1871			
2020-06-26	76698	1906			
2020-06-27	78115	1943			
