# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	1	0			
2020-03-12	2	0			
2020-03-13	2	0			
2020-03-14	4	0			
2020-03-16	6	0			
2020-03-17	14	0			
2020-03-18	19	0			
2020-03-19	29	0			
2020-03-20	38	0			
2020-03-21	55	0			
2020-03-22	83	0			
2020-03-23	128	0			
2020-03-24	130	0			
2020-03-25	133	0			
2020-03-26	153	0			
2020-03-27	189	0			
2020-03-28	205	0			
2020-03-29	231	0			
2020-03-30	261	1			
2020-03-31	275	2			
2020-04-01	314	3			
2020-04-02	370	4			
2020-04-03	397	6			
2020-04-04	430	6			
2020-04-05	498	6			
2020-04-06	525	9			
2020-04-07	559	11			
2020-04-08	614	14			
2020-04-09	655	15			
2020-04-10	698	17			
2020-04-11	750	17			
2020-04-12	806	20			
2020-04-13	815	23			
2020-04-14	884	27			
2020-04-15	903	30			
2020-04-16	958	33			
2020-04-17	1021	35			
2020-04-18	1077	39			
2020-04-19	1154	39			
2020-04-20	1189	41			
2020-04-21	1230	44			
