# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	1	0			
2020-03-12	2	0			
2020-03-13	2	0			
2020-03-14	4	0			
2020-03-15	4	0			
2020-03-16	8	0			
2020-03-17	8	0			
2020-03-18	11	0			
2020-03-19	13	0			
2020-03-20	16	0			
2020-03-21	26	0			
2020-03-22	26	0			
2020-03-23	33	0			
2020-03-24	39	0			
2020-03-25	39	0			
2020-03-26	47	0			
2020-03-27	53	0			
2020-03-28	60	0			
2020-03-29	71	0			
2020-03-30	84	0			
2020-03-31	96	0			
2020-04-01	120	0			
2020-04-02	139	2			
2020-04-03	153	5			
2020-04-04	166	6			
2020-04-05	194	6			
2020-04-06	209	6			
2020-04-07	227	6			
2020-04-08	273	6			
2020-04-09	300	7			
2020-04-10	349	8			
2020-04-11	383	9			
2020-04-12	430	14			
2020-04-13	463	17			
2020-04-14	557	18			
2020-04-15	734	21			
2020-04-16	914	27			
2020-04-17	931	27			
2020-04-18	1056	29			
2020-04-19	1149	33			
2020-04-20	1164	33			
2020-04-21	1258	33			
2020-04-22	1286	36			
2020-04-23	1378	42			
2020-04-24	1574	46			
2020-04-25	1611	51			
2020-04-26	1725	56			
2020-04-27	1846	62			
2020-04-28	2065	76			
2020-04-29	2433	83			
2020-04-30	2574	92			
2020-05-01	2798	100			
2020-05-02	2985	103			
2020-05-03	3088	114			
2020-05-04	3226	122			
2020-05-05	3403	132			
2020-05-06	3568	145			
2020-05-07	3838	156			
2020-05-08	4078	164			
2020-05-09	4243	171			
2020-05-10	4427	180			
2020-05-11	4643	195			
2020-05-12	4906	211			
2020-05-13	5217	232			
2020-05-14	5621	248			
2020-05-15	5996	259			
