# Data source: https://brasil.io/api/dataset/covid19/caso/data
# Data provenance: https://brasil.io/dataset/covid19/caso
# License: Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
time	cases	deaths	hospitalized	icu	recovered
2020-03-12	2	0			
2020-03-13	2	0			
2020-03-14	6	0			
2020-03-15	7	0			
2020-03-16	8	0			
2020-03-17	16	0			
2020-03-18	16	0			
2020-03-19	28	0			
2020-03-20	31	0			
2020-03-21	29	0			
2020-03-22	33	0			
2020-03-23	38	0			
2020-03-24	38	0			
2020-03-25	41	1			
2020-03-26	43	2			
2020-03-27	52	3			
2020-03-28	63	4			
2020-03-29	68	4			
2020-03-30	72	5			
2020-03-31	82	5			
2020-04-01	90	7			
2020-04-02	101	8			
2020-04-03	131	9			
2020-04-04	170	13			
2020-04-05	195	20			
2020-04-06	217	29			
2020-04-07	345	33			
2020-04-08	394	45			
2020-04-09	548	55			
2020-04-10	676	64			
2020-04-11	808	71			
2020-04-12	952	84			
2020-04-13	1146	101			
2020-04-14	1276	114			
2020-04-15	1472	142			
2020-04-16	1674	159			
2020-04-17	1996	185			
2020-04-18	2182	204			
2020-04-19	2448	215			
2020-04-20	2679	233			
2020-04-21	2897	259			
2020-04-22	3286	281			
2020-04-23	3592	311			
2020-04-24	3028	351			
2020-04-25	3301	380			
2020-04-26	4884	414			
2020-04-27	5342	449			
2020-04-28	5708	507			
2020-04-29	6178	537			
2020-04-30	6860	564			
2020-05-01	7318	601			
2020-05-02	8128	626			
2020-05-03	8624	649			
2020-05-04	8844	688			
2020-05-05	8844	688			
2020-05-06	9881	803			
2020-05-07	10803	842			
2020-05-08	10803	842			
2020-05-09	12448	969			
2020-05-10	13253	1044			
2020-05-11	13744	1084			
2020-05-12	14284	1154			
2020-05-13	14875	1221			
2020-05-14	15562	1295			
2020-05-15	16183	1378			
2020-05-16	18461	1458			
2020-05-17	19421	1513			
2020-05-18	20064	1636			
2020-05-19	21210	1737			
2020-05-20	22526	1830			
2020-05-21	23873	1920			
2020-05-22	25717	2050			
2020-05-23	26741	2137			
2020-05-24	27712	2193			
2020-05-25	28318	2240			
2020-05-26	28806	2320			
2020-05-27	29870	2460			
2020-05-28	30666	2557			
2020-05-29	32206	2660			
2020-05-30	33377	2731			
2020-05-31	34401	2798			
2020-06-01	34851	2866			
2020-06-02	35458	2924			
2020-06-03	36408	3001			
2020-06-04	37449	3121			
2020-06-05	38452	3192			
2020-06-06	39286	3256			
2020-06-07	40162	3289			
2020-06-08	40625	3334			
2020-06-09	40928	3435			
2020-06-10	41853	3511			
2020-06-11	42910	3613			
2020-06-12	43786	3674			
2020-06-13	44583	3764			
2020-06-14	45172	3835			
2020-06-15	45416	3866			
2020-06-16	46337	3938			
2020-06-17	47336	3986			
2020-06-18	48515	4033			
2020-06-19	49606	4078			
2020-06-20	51002	4124			
2020-06-21	51996	4208			
2020-06-22	52375	4225			
2020-06-23	52710	4312			
2020-06-24	53901	4398			
2020-06-25	55013	4461			
2020-06-26	55676	4582			
2020-06-27	56956	4679			
2020-06-28	57972	4721			
2020-06-29	58340	4752			
2020-06-30	58721	4799			
2020-07-01	59565	4863			
2020-07-02	60974	4935			
2020-07-03	62215	5031			
2020-07-04	63305	5078			
2020-07-05	64975	5104			
2020-07-06	65487	5124			
2020-07-07	65992	5195			
2020-07-08	67444	5284			
2020-07-09	68605	5370			
2020-07-10	69935	5443			
2020-07-11	71201	5516			
2020-07-12	72300	5555			
2020-07-13	72726	5612			
2020-07-14	73397	5674			
2020-07-15	74776	5731			
2020-07-16	75905	5795			
2020-07-17	77234	5828			
2020-07-18	78318	5886			
2020-07-19	79261	5942			
2020-07-20	79921	5993			
2020-07-21	80245	6044			
2020-07-22	81184	6107			
2020-07-23	83037	6164			
2020-07-24	84836	6190			
2020-07-25	86543	6248			
2020-07-26	88254	6300			
2020-07-27	88920	6324			
2020-07-28	89464	6369			
2020-07-29	91320	6431			
2020-07-30	93155	6473			
2020-07-31	94784	6504			
2020-08-01	96524	6544			
2020-08-02	97747	6581			
2020-08-03	98178	6616			
2020-08-04	98608	6664			
2020-08-05	100095	6705			
2020-08-06	101169	6775			
2020-08-07	102641	6813			
2020-08-08	103880	6864			
2020-08-09	105144	6914			
2020-08-10	105143	6913			
2020-08-11	105742	6950			
2020-08-12	107131	6990			
2020-08-13	108595	7025			
2020-08-14	110161	7052			
2020-08-15	111525	7097			
2020-08-16	112709	7129			
2020-08-17	112934	7148			
2020-08-18	113536	7190			
2020-08-19	114963	7218			
2020-08-20	116105	7241			
2020-08-21	117176	7273			
2020-08-22	117772	7302			
2020-08-23	118885	7328			
2020-08-24	119102	7337			
2020-08-25	119703	7363			
2020-08-26	120822	7397			
2020-08-27	121890	7417			
2020-08-28	122887	7449			
2020-08-29	123887	7482			
2020-08-30	124830	7509			
2020-08-31	125275	7528			
2020-09-01	127057	7549			
2020-09-02	128493	7591			
2020-09-03	130199	7619			
2020-09-04	131230	7645			
2020-09-05	131961	7670			
2020-09-06	132152	7702			
2020-09-07	132420	7721			
2020-09-08	132590	7741			
2020-09-09	133579	7764			
2020-09-10	134619	7792			
2020-09-11	135643	7817			
2020-09-12	136413	7852			
2020-09-13	136672	7874			
2020-09-14	136853	7888			
2020-09-15	137869	7914			
2020-09-16	138568	7933			
2020-09-17	139325	7954			
2020-09-18	140235	7971			
2020-09-19	141042	8004			
2020-09-20	141517	8016			
2020-09-21	141777	8025			
2020-09-22	142488	8055			
2020-09-23	143165	8085			
2020-09-24	143703	8110			
2020-09-25	144268	8129			
2020-09-26	144940	8156			
2020-09-27	145016	8174			
2020-09-28	145096	8190			
2020-09-29	146325	8222			
2020-09-30	147171	8251			
2020-10-01	147872	8279			
2020-10-02	148737	8299			
2020-10-03	149349	8318			
2020-10-04	149417	8333			
2020-10-05	149454	8340			
2020-10-06	150217	8356			
2020-10-07	151139	8379			
2020-10-08	151736	8387			
2020-10-09	152414	8397			
2020-10-10	152998	8408			
2020-10-11	153144	8411			
2020-10-12	153222	8414			
2020-10-13	153299	8417			
2020-10-14	154041	8438			
2020-10-15	154866	8456			
2020-10-16	155520	8469			
2020-10-17	155923	8480			
2020-10-18	156029	8487			
2020-10-19	156130	8490			
2020-10-20	156794	8505			
2020-10-21	157418	8519			
2020-10-22	157777	8527			
2020-10-23	158496	8531			
2020-10-24	159220	8542			
2020-10-25	159377	8552			
2020-10-26	159476	8564			
2020-10-27	160354	8575			
2020-10-28	161161	8587			
2020-10-29	161740	8599			
2020-10-30	162402	8609			
2020-10-31	162893	8627			
2020-11-01	162977	8632			
2020-11-02	163039	8638			
2020-11-03	163156	8643			
2020-11-04	163642	8667			
2020-11-05	164222	8687			
2020-11-06	165273	8711			
2020-11-07	165922	8724			
2020-11-08	166333	8732			
2020-11-09	166540	8740			
2020-11-10	167233	8763			
2020-11-11	168093	8773			
2020-11-12	168880	8794			
2020-11-13	169710	8805			
2020-11-14	170553	8815			
2020-11-15	170860	8827			
2020-11-16	171216	8838			
2020-11-17	171890	8854			
2020-11-18	172716	8873			
2020-11-19	173624	8890			
2020-11-20	174312	8899			
2020-11-21	175258	8920			
2020-11-22	175730	8923			
2020-11-23	176158	8926			
2020-11-24	176939	8951			
2020-11-25	178086	8971			
2020-11-26	178639	8987			
2020-11-27	179308	8999			
2020-11-28	181392	9019			
2020-11-29	181841	9030			
2020-11-30	182406	9037			
2020-12-01	184259	9056			
2020-12-02	185607	9082			
2020-12-03	187038	9098			
2020-12-04	188132	9119			
2020-12-05	189650	9140			
2020-12-06	190415	9148			
2020-12-07	191161	9170			
2020-12-08	192397	9186			
2020-12-09	193530	9200			
