# Data source: https://github.com/opencovid19-fr/data/raw/master/dist/chiffres-cles.csv
# Data provenance: Données nationales concernant l'épidémie de COVID19
# License: Etalab Open License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-28	0				
2020-03-02	0				
2020-03-03	3				
2020-03-04	0				
2020-03-05	0				
2020-03-06	0				
2020-03-07	0				
2020-03-10	0				
2020-03-11	0				
2020-03-12	0				
2020-03-13	1				
2020-03-14	5				
2020-03-15	6				
2020-03-16	18		2	1	
2020-03-17	27		3	2	
2020-03-18	33	0	0	0	
2020-03-19	45	0	8	3	
2020-03-20	51	1	11	4	
2020-03-21	56	0	14	5	
2020-03-22	58	0	16	6	
2020-03-23	62	0	18	6	
2020-03-24	73	1	20	7	
2020-03-25	76	1	19	7	
2020-03-26		0	21	7	
2020-03-27		1	29	13	
2020-03-28	102	1	44	13	
2020-03-29	106	4	44	12	
2020-03-30		4	35	11	
2020-03-31		5	37	12	
2020-04-01		7	35	12	
2020-04-02		7	37	16	
2020-04-03		8	36	17	
2020-04-04		8	36	17	
2020-04-05		8	36	18	
2020-04-06		8	40	18	
2020-04-07		8	34	17	
2020-04-08		10	33	16	
2020-04-09		10	33	17	
2020-04-10		10	33	19	
2020-04-11		10	37	20	
2020-04-12		10	38	19	
2020-04-13		10	41	18	
2020-04-14		10	41	18	
2020-04-15		10	35	17	
2020-04-16		10	34	17	
2020-04-17		10	36	19	
2020-04-18		11	33	17	
2020-04-19		11	34	17	
2020-04-20		12	32	16	
2020-04-21		12	24	15	
2020-04-22		12	25	13	
2020-04-23		12	24	14	
2020-04-24		13	23	13	
2020-04-25		13	22	11	
2020-04-26		13	23	11	
2020-04-27		14	22	10	
2020-04-28		14	22	10	
2020-04-29		14	21	10	
2020-04-30		16	17	7	
2020-05-01		17	16	6	
2020-05-02		17	16	6	
