# Data source: https://github.com/opencovid19-fr/data/raw/master/dist/chiffres-cles.csv
# Data provenance: Données nationales concernant l'épidémie de COVID19
# License: Etalab Open License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-28	0				
2020-03-02	0				
2020-03-03	3				
2020-03-04	0				
2020-03-05	0				
2020-03-06	0				
2020-03-07	0				
2020-03-10	0				
2020-03-11	0				
2020-03-12	0				
2020-03-13	1				
2020-03-14	5				
2020-03-15	6				
2020-03-16	18		2	1	
2020-03-17	27		3	2	
2020-03-18	33	0	0	0	
2020-03-19	45	0	8	3	
2020-03-20	51	1	11	4	
2020-03-21	56	0	14	5	
2020-03-22	58	0	16	6	
2020-03-23	62	0	18	6	
2020-03-24	73	1	20	7	
2020-03-25	76	1	19	7	
2020-03-26		0	21	7	
2020-03-27		1	29	13	
2020-03-28	102	1	44	13	
2020-03-29	106	4	44	12	
2020-03-30		4	35	11	
2020-03-31		5	37	12	
2020-04-01		7	35	12	
2020-04-02		7	37	16	
2020-04-03		8	36	17	
2020-04-04		8	36	17	
2020-04-05		8	36	18	
2020-04-06		8	40	18	
2020-04-07		8	34	17	
2020-04-08		10	33	16	
2020-04-09		10	33	17	
2020-04-10		10	33	19	
2020-04-11		10	37	20	
2020-04-12		10	38	19	
2020-04-13		10	41	18	
2020-04-14		10	41	18	
2020-04-15		10	35	17	
2020-04-16		10	34	17	
2020-04-17		10	36	19	
2020-04-18		11	33	17	
2020-04-19		11	34	17	
2020-04-20		12	32	16	
2020-04-21		12	24	15	
2020-04-22		12	25	13	
2020-04-23		12	24	14	
2020-04-24		13	23	13	
2020-04-25		13	22	11	
2020-04-26		13	23	11	
2020-04-27		14	22	10	
2020-04-28		14	22	10	
2020-04-29		14	21	10	
2020-04-30		16	17	7	
2020-05-01		17	16	6	
2020-05-02		17	16	6	
2020-05-03		17	16	6	
2020-05-04		17	16	6	
2020-05-05		18	16	5	
2020-05-06		18	16	5	
2020-05-07		18	15	5	
2020-05-08		19	14	4	
2020-05-09		19	14	4	
2020-05-10		19	14	4	
2020-05-11		19	14	4	
2020-05-12		19	14	4	
2020-05-13		19	14	4	
2020-05-14		19	14	4	
2020-05-15		19	14	4	
2020-05-16		19	14	3	
2020-05-17		19	14	3	
2020-05-18		19	14	3	
2020-05-19		16	14	3	
2020-05-20		16	13	3	
2020-05-21		16	13	2	
2020-05-22		16	13	2	
2020-05-23		16	13	2	
2020-05-24		16	13	2	
2020-05-25		17	13	2	
2020-05-26		17	13	2	
2020-05-27		17	13	1	
2020-05-28		17	13	1	
2020-05-29		17	13	1	
2020-05-30		17	13	1	
2020-05-31		16	13	1	
2020-06-01		16	13	1	
2020-06-02		16	13	1	
2020-06-03		16	13	1	
2020-06-04		16	12	0	
2020-06-05		16	12	0	
2020-06-06		16	12	0	
2020-06-07		16	12	0	
2020-06-08		16	12	0	
2020-06-09		16	12	0	
2020-06-10		16	12	0	
2020-06-11		16	12	0	
2020-06-12		16	12	0	
2020-06-13		16	12	0	
2020-06-14		16	12	0	
2020-06-15		16	9	0	
2020-06-16		15	8	0	
2020-06-17		15	6	0	
2020-06-18		15	6	0	
2020-06-19		15	6	0	
2020-06-20		15	6	0	
2020-06-21		15	6	0	
2020-06-22		15	6	0	
2020-06-23		15	6	0	
2020-06-24		15	6	0	
2020-06-25		15	8	2	
2020-06-26		15	8	2	
2020-06-27		15	8	2	
2020-06-28		15	8	2	
2020-06-29		15	8	2	
2020-06-30		15	10	4	
2020-07-01		15	10	4	
2020-07-02		15	10	4	
2020-07-03		15	10	4	
2020-07-04		16	10	4	
2020-07-05		16	10	4	
2020-07-06		16	10	4	
2020-07-07		16	12	6	
2020-07-08		16	12	5	
2020-07-09		16	12	3	
2020-07-10		16	12	3	
2020-07-11		16	10	4	
2020-07-12		16	10	4	
2020-07-13		16	9	4	
2020-07-14		16	9	4	
2020-07-15		16	9	4	
2020-07-16		16	9	3	
2020-07-17		16	9	3	
2020-07-18		17	8	1	
2020-07-19		17	8	1	
2020-07-20		17	8	1	
2020-07-21		17	8	1	
2020-07-22		17	8	1	
2020-07-23		17	8	1	
2020-07-24		17	8	1	
2020-07-25		17	6	1	
2020-07-26		17	6	1	
2020-07-27		17	6	1	
2020-07-28		17	6	1	
2020-07-29		17	5	0	
2020-07-30		17	5	0	
2020-07-31		17	5	0	
2020-08-01		17	4	0	
2020-08-02		17	4	0	
