# Data source: https://github.com/opencovid19-fr/data/raw/master/dist/chiffres-cles.csv
# Data provenance: Données nationales concernant l'épidémie de COVID19
# License: Etalab Open License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-28	0				
2020-03-02	0				
2020-03-03	0				
2020-03-04	0				
2020-03-05	0				
2020-03-06	0				
2020-03-07	0				
2020-03-10	0				
2020-03-11	1				
2020-03-12	3				
2020-03-13	5				
2020-03-14	6				
2020-03-15	9				
2020-03-16	9				
2020-03-17	12				
2020-03-18	14		0		
2020-03-19	19		0		
2020-03-20	38		0		
2020-03-21	47		0		
2020-03-22	64		0		
2020-03-23	71		0		
2020-03-24	83		0		
2020-03-25	94		0		
2020-03-26			0		
2020-03-27			0		
2020-03-28			0		
2020-03-29			0		
2020-03-30			0		
2020-03-31			0		
2020-04-01			0		
2020-04-02			0		
2020-04-03			0		
2020-04-04			0		
2020-04-05			0		
2020-04-06			0		
2020-04-07			0		
2020-04-08			0		
2020-04-09			0		
2020-04-10			0		
2020-04-11			0		
2020-04-12			0		
2020-04-13			0		
2020-04-14			0		
2020-04-15			0		
