# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: http://www.datadista.com
# License: unclear
time	cases	deaths	hospitalized	icu	recovered
2020-02-21	0				
2020-02-22	0				
2020-02-23	0				
2020-02-24	0				
2020-02-25	0				
2020-02-26	0				
2020-02-27	1				
2020-02-28	6				
2020-02-29	8				
2020-03-01	12				
2020-03-02	12				
2020-03-03	12	0			
2020-03-04	12	0			
2020-03-05	12	0			
2020-03-06	21	0			
2020-03-07	27	0			
2020-03-08	34	0			
2020-03-09	54	0			11
2020-03-10	71	0			11
2020-03-11	90	0			11
2020-03-12	115	0			11
2020-03-13	219	0			0
2020-03-14	269	2			0
2020-03-15	437	6			0
2020-03-16	554	7			0
2020-03-17	683	11			0
2020-03-18	859	19			38
2020-03-19	1008	23			33
2020-03-20	1287	30			36
2020-03-21	1515	40			36
2020-03-22	1725	47			38
2020-03-23	1961	58			50
2020-03-24	2470	87			66
2020-03-25	3008	113			71
2020-03-26	3404	134			77
2020-03-27	3790	144			92
2020-03-28	4271	175			139
2020-03-29	4676	207			148
2020-03-30	5398	236			155
2020-03-31	5809	248			160
2020-04-01	6379	308			182
2020-04-02	6957	343			228
2020-04-03	7353	376			258
2020-04-04	7847	426			463
2020-04-05	8279	470			665
2020-04-06	8559	491			798
2020-04-07	8743	528			900
2020-04-08	8973	605			1041
2020-04-09	9234	652			1193
2020-04-10	9482	691			1437
2020-04-11	9682	737			1630
2020-04-12	9976	799			1838
2020-04-13	10063	815			1967
2020-04-14	10285	836			2032
2020-04-15	10563	865			2224
2020-04-16	10775	912			2634
2020-04-17	11021	940			2790
2020-04-18	11172	967			2948
2020-04-19	11393	993			3116
2020-04-20	11523	1013			3229
2020-04-21	11657	1017			3411
2020-04-22	11889	1050			3569
2020-04-23	12205	1079			3847
2020-04-24	12463	1107			3992
2020-04-25	12792	1131			4295
2020-04-26	12991	1145			4741
2020-04-27	13128	1157			4890
2020-04-28	13218	1168			5039
2020-04-29	13469	1188			5272
2020-04-30	13656	1207			5710
2020-05-01	13914	1238			6334
2020-05-02	14163	1253			6821
2020-05-03	14287	1256			6897
2020-05-04	14349	1263			7021
2020-05-05	14394	1267			7230
2020-05-06	14639	1281			7679
2020-05-07	14870	1294			8076
2020-05-08	15050	1301			8435
2020-05-09	15228	1317			8779
2020-05-10	15403	1320			9020
2020-05-11	15478	1322			9205
