# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: http://www.datadista.com
# License: unclear
time	cases	deaths	hospitalized	icu	recovered
2020-02-27	0				
2020-02-28	0				
2020-02-29	0				
2020-03-01	1				
2020-03-02	10				
2020-03-03	10	0			
2020-03-04	10	0			
2020-03-05	10	0			
2020-03-06	10	0			
2020-03-07	10	0			
2020-03-08	12	0			
2020-03-09	12	0			
2020-03-10	12	0			
2020-03-11	12	0			
2020-03-12	16	0			
2020-03-13	29	0			
2020-03-14	31	0			
2020-03-15	51	0			
2020-03-16	58	0			10
2020-03-17	58	0			10
2020-03-18	68	1			10
2020-03-19	83	1			10
2020-03-20	144	1			10
2020-03-21	215	2			11
2020-03-22	282	5			11
2020-03-23	347	6			11
2020-03-24	425	9			12
2020-03-25	510	14			12
2020-03-26	671	17			14
2020-03-27	810	21			19
2020-03-28	937	22			21
2020-03-29	1023	26			25
2020-03-30	1100	27			24
2020-03-31	1171	37			35
2020-04-01	1213	54			43
2020-04-02	1268	60			60
2020-04-03	1321	64			74
2020-04-04	1384	68			99
2020-04-05	1441	68			113
2020-04-06	1483	77			118
2020-04-07	1501	85			129
2020-04-08	1572	92			175
2020-04-09	1619	98			214
2020-04-10	1659	102			265
2020-04-11	1719	107			281
2020-04-12	1752	110			297
2020-04-13	1777	117			317
2020-04-14	1796	120			323
2020-04-15	1823	132			363
2020-04-16	1845	137			442
2020-04-17	1884	144			510
2020-04-18	1990	149			534
2020-04-19	2050	153			610
2020-04-20	2083	158			626
