# Data source: https://github.com/opencovid19-fr/data/raw/master/dist/chiffres-cles.csv
# Data provenance: Données nationales concernant l'épidémie de COVID19
# License: Etalab Open License 2.0
time	cases	deaths	hospitalized	ICU	recovered
2020-02-26	2	1			
2020-02-28	9				
2020-03-02	45				
2020-03-04	65				
2020-03-05	5	4			
2020-03-05	74				
2020-03-06	12				
2020-03-06	97				
2020-03-07	173				
2020-03-09	181	15			
2020-03-10	222	16			
2020-03-10	209				
2020-03-11	263				
2020-03-12	337	20			
2020-03-12	349				
2020-03-13	368	26			
2020-03-13	397				
2020-03-14	463	29			
2020-03-14	466				
2020-03-15	507				
2020-03-16	587	39			
2020-03-16	585				
2020-03-17	613	46			
2020-03-17	612				
2020-03-18	668	55			
2020-03-18	665				
2020-03-19	719	69			
2020-03-19	700				
2020-03-20	740	81			
2020-03-20	759				
2020-03-21	791				
