# Data source: https://github.com/BlankerL/DXY-COVID-19-Data/raw/master/csv/DXYOverall.csv
# Data provenance: https://github.com/BlankerL/DXY-COVID-19-Data
# License: MIT
time	cases	deaths	hospitalized	ICU	recovered
2020-01-22	0	0			0
2020-01-23	1	0			0
2020-01-24	3	0			0
2020-01-25	4	0			0
2020-01-27	6	0			0
2020-01-28	8	0			0
2020-01-29	9	0			0
2020-01-30	14	0			1
2020-01-31	14	0			1
2020-02-01	17	0			1
2020-02-02	23	0			1
2020-02-03	31	0			1
2020-02-04	42	0			1
2020-02-05	54	0			2
2020-02-06	59	0			4
2020-02-07	65	1			4
2020-02-08	69	1			4
2020-02-09	78	1			12
2020-02-10	80	1			13
2020-02-11	81	1			18
2020-02-12	83	1			22
2020-02-13	84	1			24
2020-02-14	86	1			25
2020-02-15	88	1			26
2020-02-16	89	1			30
2020-02-17	89	1			34
2020-02-18	89	1			36
2020-02-19	90	1			36
2020-02-20	91	1			43
2020-02-21	91	1			45
2020-02-22	91	1			52
2020-02-23	91	1			54
2020-02-24	93	1			60
2020-02-25	93	1			63
2020-02-26	93	1			65
2020-02-27	93	1			67
2020-02-28	93	1			73
2020-02-29	93	1			75
2020-03-01	93	1			78
2020-03-02	93	1			83
2020-03-04	93	1			86
2020-03-05	93	1			88
2020-03-06	93	1			90
2020-03-09	93	1			91
2020-03-12	93	1			92
2020-03-25	94	1			92
2020-03-26	95	1			92
2020-03-28	97	1			92
2020-03-29	98	1			92
